p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,hardship,contact,t1,t2,t3,t4,t5,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,utility,id
1,7,7,7,7,6,6,7,6,6,5,1,7,7,7,7,3,6,6,6,6,5,7,6,6,5,6,5,6,6,AU02,161
7,7,7,7,7,5,4,7,4,5,4,1,7,7,7,7,6,7,7,6,6,7,7,6,7,7,6,7,7,6,AU02,162
7,7,7,7,7,6,4,5,4,6,5,2,7,6,7,6,3,6,6,4,6,4,7,4,4,4,4,5,4,5,AU02,163
7,7,7,7,7,4,2,4,5,4,2,1,6,6,6,4,3,4,6,4,6,4,6,4,4,4,4,6,4,6,AU02,164
7,7,4,7,7,4,4,4,2,7,2,1,7,6,6,6,6,4,6,6,6,4,5,4,4,7,6,6,7,4,AU02,165
7,7,6,7,7,4,1,7,2,4,1,1,7,7,6,7,6,7,6,6,6,6,5,5,4,6,6,6,6,5,AU02,166
7,7,7,7,7,7,7,6,6,7,2,1,7,6,6,7,6,6,6,6,6,7,6,6,6,6,7,6,7,6,AU02,167
7,7,7,7,7,7,7,7,7,7,2,1,6,6,6,7,6,4,6,6,6,6,4,6,4,6,6,6,6,6,AU02,168
6,6,6,7,7,4,4,4,3,2,4,1,7,7,7,7,7,6,6,6,6,6,6,6,6,7,6,6,6,7,AU02,169
7,6,7,7,7,6,6,6,6,5,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,AU02,170
7,7,7,7,7,3,7,6,6,4,4,2,7,7,6,5,6,6,6,4,6,4,6,4,4,4,4,5,4,5,AU02,171
7,7,7,7,7,4,5,7,5,5,2,1,6,6,7,7,6,4,4,4,6,4,6,4,4,5,5,4,6,5,AU02,172
7,6,1,7,1,6,5,4,7,7,1,1,7,7,7,7,7,4,6,4,7,4,7,7,4,6,7,4,7,4,AU02,173
7,7,7,6,7,4,4,7,4,4,1,1,7,7,7,4,7,7,4,4,7,4,4,4,4,4,4,4,4,7,AU02,174
7,7,7,7,7,6,5,2,4,2,1,1,7,7,6,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,AU02,175
7,7,7,7,5,7,4,7,7,7,1,1,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,AU02,176
7,7,7,7,7,5,5,7,4,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,AU02,177
7,7,7,7,7,4,4,7,1,1,2,1,7,6,3,3,6,5,7,5,6,6,7,4,4,6,4,6,7,4,AU02,178
7,7,6,7,7,4,4,7,4,4,1,1,3,6,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,AU02,179
7,7,7,7,7,7,7,7,7,7,5,1,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,5,7,7,AU02,180
7,6,2,7,7,4,5,6,6,4,2,1,6,6,6,6,7,6,6,6,6,6,6,6,6,7,7,6,6,6,AU02,181
7,7,7,7,7,7,5,1,5,7,7,4,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,AU02,182
7,7,7,7,7,6,6,7,5,6,1,1,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,AU02,184
7,5,7,7,7,3,3,4,3,2,2,1,7,5,6,5,6,4,6,7,6,4,6,5,4,6,5,6,4,4,AU02,185
7,7,7,7,7,2,1,4,2,1,2,1,7,7,7,6,7,7,7,7,7,7,6,7,7,6,7,7,7,7,AU02,186
7,4,4,5,7,2,1,3,1,1,5,2,5,6,5,5,6,5,6,6,5,6,6,6,5,5,6,6,6,4,AU02,187
7,7,7,7,7,6,6,6,7,7,1,2,7,7,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,AU02,188
7,6,4,7,7,4,4,4,4,4,1,2,6,6,5,5,6,7,7,4,7,4,6,7,4,4,7,7,4,7,AU02,189
5,5,6,6,7,4,4,6,4,2,5,2,6,5,5,4,4,5,5,5,5,4,4,5,4,4,5,5,4,3,AU02,190
7,7,7,7,7,7,1,7,4,4,1,4,7,7,6,7,7,6,6,6,6,7,7,7,7,7,7,7,6,7,AU03,192
7,7,6,7,7,2,1,5,2,1,1,1,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,2,6,7,AU03,193
7,7,7,7,7,7,5,6,4,4,4,1,7,2,6,2,6,6,6,4,4,4,6,4,5,4,4,6,4,4,AU03,194
7,7,7,7,7,6,4,4,4,7,4,2,6,4,3,3,2,6,6,6,5,4,5,6,5,4,4,6,6,4,AU03,195
7,6,6,7,7,6,6,6,6,6,2,2,6,6,5,2,3,6,5,4,5,5,4,4,3,4,4,6,4,3,AU03,196
7,6,7,7,7,5,3,2,5,2,3,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,AU03,197
7,7,7,7,7,7,4,6,6,6,5,2,7,7,4,4,6,4,6,5,7,6,1,4,4,5,5,2,7,3,AU03,198
7,7,7,7,7,5,4,5,4,4,7,1,3,5,4,2,1,4,3,5,5,6,3,3,3,2,4,1,4,4,AU03,199
7,7,7,7,7,5,4,4,1,4,1,1,7,7,3,6,6,6,6,6,4,4,6,4,5,3,6,6,6,5,AU04,200
